Año,Trimestre,Provincia,Accesos_100_hogares,KPI_hogares_2%,Fibra_optica,KPI_fibra_10%,Accesos_100_hab,ADSL,Cablemodem,Wireless,Otros,Total
2023,2,Catamarca,67.42,68.7684,53177.0,61153.549999999996,17.15,7637.0,10700.0,1384.0,92.0,72990.0
2023,2,Chaco,42.87,43.727399999999996,51955.0,59748.24999999999,11.46,19115.0,59944.0,8267.0,2574.0,141855.0
2023,2,Chubut,82.49,84.1398,16111.0,18527.649999999998,25.28,33702.0,73689.0,30521.0,9938.0,163961.0
2023,2,Córdoba,90.13,91.9326,411703.0,473458.44999999995,27.59,129303.0,453924.0,62391.0,10430.0,1067751.0
2023,2,Corrientes,52.37,53.4174,32834.0,37759.1,13.79,26821.0,82977.0,10407.0,5255.0,158294.0
2023,2,Entre Ríos,64.43,65.71860000000001,49251.0,56638.649999999994,19.26,46503.0,142562.0,24461.0,11170.0,273947.0
2023,2,Formosa,38.32,39.0864,13698.0,15752.699999999999,9.75,11934.0,17678.0,16813.0,227.0,60350.0
2023,2,Jujuy,57.78,58.9356,47289.0,54382.35,14.78,13749.0,51082.0,4067.0,1255.0,117442.0
2023,2,La Pampa,98.35,100.317,31449.0,36166.35,32.4,7254.0,59101.0,19993.0,1113.0,118910.0
2023,2,La Rioja,80.01,81.6102,21245.0,24431.749999999996,21.3,4152.0,55148.0,6395.0,32.0,86972.0
2023,2,Mendoza,52.09,53.131800000000005,171857.0,197635.55,14.54,25299.0,71931.0,27609.0,980.0,297676.0
2023,2,Misiones,55.18,56.2836,64406.0,74066.9,15.03,28897.0,82058.0,12927.0,7183.0,195471.0
2023,2,Neuquén,78.97,80.5494,35171.0,40446.649999999994,23.5,26379.0,73040.0,24046.0,3110.0,161746.0
2023,2,Río Negro,68.56,69.9312,53325.0,61323.74999999999,21.09,26390.0,49684.0,16864.0,17116.0,163379.0
2023,2,Salta,57.48,58.629599999999996,58275.0,67016.25,13.92,30666.0,97501.0,12337.0,6549.0,205328.0
2023,2,San Juan,47.52,48.470400000000005,25217.0,28999.55,12.1,21483.0,20200.0,23545.0,7004.0,97449.0
2023,2,San Luis,93.41,95.2782,15595.0,17934.25,26.73,4937.0,41949.0,77960.0,307.0,140748.0
2023,2,Santa Cruz,41.66,42.493199999999995,11269.0,12959.349999999999,12.39,9019.0,23896.0,3660.0,758.0,48602.0
2023,2,Santa Fe,78.83,80.4066,311166.0,357840.89999999997,24.79,126344.0,399669.0,44134.0,14501.0,895814.0
2023,2,Santiago Del Estero,47.14,48.0828,17244.0,19830.6,11.7,10629.0,80086.0,6916.0,2934.0,117809.0
2023,2,Tierra Del Fuego,106.38,108.5076,525.0,603.75,31.54,12392.0,45224.0,157.0,337.0,58635.0
2023,2,Tucumán,60.75,61.965,188986.0,217333.9,15.05,50019.0,20012.0,4060.0,525.0,263602.0
